시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,주야과정명,학교과정명,수업공제일명,학사일자,행사명,행사내용,1학년행사여부,2학년행사여부,3학년행사여부,4학년행사여부,5학년행사여부,6학년행사여부,수정일자
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,1,기말고사(전학년),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,2,기말고사(전학년),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,3,기말고사(전학년) / 교내봉사활동 / 기숙사 귀가(14:30),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,4,-,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,5,기숙사 귀사,,N,N,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,6,-,,N,N,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,7,-,,N,N,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,8,전국연합학력평가(3년),,N,N,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,9,-,,,,,,,,
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,10,-,,,,,,,,
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,11,-,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,12,-,,,,,,,,
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,13,-,,,,,,,,
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,14,학생자치회장단 선거,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,15,교육계획 평가회,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,16,여름방학식 / 소변검사 / 기숙사 귀가(13:30),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,공휴일,17,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,18,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,19,여름방학 / 기숙사 귀사,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,20,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,21,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,22,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,23,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,24,여름방학 / 기숙사 귀가(13:30),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,25,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,26,여름방학 / 기숙사 귀사,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,27,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,28,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,29,여름방학,,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,30,여름방학 / 기숙사 귀가(13:30),,Y,Y,Y,*,*,*,20260723
Q10,전남광주통합특별시교육청(전남),7140232,능주고등학교,2026,주간,고등학교,해당없음,31,여름방학 / 기숙사 휴가,,Y,Y,Y,*,*,*,20260723
